time	species	protein	transcript	ribo_density	collisions
0.000000	ATA_charged	2250.000000	0.000000	0.000000	0.000000
0.000000	ATA_uncharged	0.000000	0.000000	0.000000	0.000000
0.000000	TTT_charged	250.000000	0.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	100.000000	0.000000	0.000000	0.000000
0.000000	__ribosome	500.000000	0.000000	0.000000	0.000000
4.999001	ATA_charged	1655.000000	0.000000	0.000000	0.000000
4.999001	ATA_uncharged	595.000000	0.000000	0.000000	0.000000
4.999001	TTT_charged	182.000000	0.000000	0.000000	0.000000
4.999001	TTT_uncharged	68.000000	0.000000	0.000000	0.000000
4.999001	__proteinX_rbs	84.000000	0.000000	0.000000	0.000000
4.999001	__ribosome	358.000000	0.000000	0.000000	18557.000000
4.999001	proteinX	3174.000000	100.000000	1.420000	0.000000
9.999006	ATA_charged	1671.000000	0.000000	0.000000	0.000000
9.999006	ATA_uncharged	579.000000	0.000000	0.000000	0.000000
9.999006	TTT_charged	194.000000	0.000000	0.000000	0.000000
9.999006	TTT_uncharged	56.000000	0.000000	0.000000	0.000000
9.999006	__proteinX_rbs	87.000000	0.000000	0.000000	0.000000
9.999006	__ribosome	348.000000	0.000000	0.000000	17512.000000
9.999006	proteinX	6411.000000	100.000000	1.520000	0.000000
14.999007	ATA_charged	1628.000000	0.000000	0.000000	0.000000
14.999007	ATA_uncharged	622.000000	0.000000	0.000000	0.000000
14.999007	TTT_charged	185.000000	0.000000	0.000000	0.000000
14.999007	TTT_uncharged	65.000000	0.000000	0.000000	0.000000
14.999007	__proteinX_rbs	94.000000	0.000000	0.000000	0.000000
14.999007	__ribosome	347.000000	0.000000	0.000000	19514.000000
14.999007	proteinX	9671.000000	100.000000	1.530000	0.000000
19.999005	ATA_charged	1638.000000	0.000000	0.000000	0.000000
19.999005	ATA_uncharged	612.000000	0.000000	0.000000	0.000000
19.999005	TTT_charged	168.000000	0.000000	0.000000	0.000000
19.999005	TTT_uncharged	82.000000	0.000000	0.000000	0.000000
19.999005	__proteinX_rbs	90.000000	0.000000	0.000000	0.000000
19.999005	__ribosome	347.000000	0.000000	0.000000	18563.000000
19.999005	proteinX	12911.000000	100.000000	1.530000	0.000000
24.999001	ATA_charged	1693.000000	0.000000	0.000000	0.000000
24.999001	ATA_uncharged	557.000000	0.000000	0.000000	0.000000
24.999001	TTT_charged	177.000000	0.000000	0.000000	0.000000
24.999001	TTT_uncharged	73.000000	0.000000	0.000000	0.000000
24.999001	__proteinX_rbs	95.000000	0.000000	0.000000	0.000000
24.999001	__ribosome	365.000000	0.000000	0.000000	19753.000000
24.999001	proteinX	16142.000000	100.000000	1.350000	0.000000
29.999003	ATA_charged	1607.000000	0.000000	0.000000	0.000000
29.999003	ATA_uncharged	643.000000	0.000000	0.000000	0.000000
29.999003	TTT_charged	192.000000	0.000000	0.000000	0.000000
29.999003	TTT_uncharged	58.000000	0.000000	0.000000	0.000000
29.999003	__proteinX_rbs	88.000000	0.000000	0.000000	0.000000
29.999003	__ribosome	346.000000	0.000000	0.000000	19187.000000
29.999003	proteinX	19441.000000	100.000000	1.540000	0.000000
34.999001	ATA_charged	1708.000000	0.000000	0.000000	0.000000
34.999001	ATA_uncharged	542.000000	0.000000	0.000000	0.000000
34.999001	TTT_charged	188.000000	0.000000	0.000000	0.000000
34.999001	TTT_uncharged	62.000000	0.000000	0.000000	0.000000
34.999001	__proteinX_rbs	87.000000	0.000000	0.000000	0.000000
34.999001	__ribosome	367.000000	0.000000	0.000000	19059.000000
34.999001	proteinX	22711.000000	100.000000	1.330000	0.000000
39.999000	ATA_charged	1641.000000	0.000000	0.000000	0.000000
39.999000	ATA_uncharged	609.000000	0.000000	0.000000	0.000000
39.999000	TTT_charged	191.000000	0.000000	0.000000	0.000000
39.999000	TTT_uncharged	59.000000	0.000000	0.000000	0.000000
